stock_id,inv_trust,dealer,foregin_inv,total_inv_overview
2017-06-14 00:00:00,0050,0,"-70,000","-518,000","-588,000"
2017-06-15 00:00:00,0050,0,"-346,000","-303,000","-649,000"
2017-06-16 00:00:00,0050,0,"-361,000","708,000","347,000"
2017-06-19 00:00:00,0050,"2,100,000","-1,790,000","-526,000","-216,000"
2017-06-20 00:00:00,0050,0,"640,000","406,000","1,046,000"
2017-06-21 00:00:00,0050,0,"-2,177,000","3,725,000","1,548,000"
2017-06-22 00:00:00,0050,0,"3,973,000","-411,000","3,562,000"
2017-06-23 00:00:00,0050,0,"3,229,000","-108,925","3,120,075"
2017-06-26 00:00:00,0050,0,"-2,406,000","7,990,000","5,584,000"
2017-06-27 00:00:00,0050,0,"382,000","586,012","968,012"
2017-06-28 00:00:00,0050,"-1,730,000","2,880,000","212,000","1,362,000"
2017-06-29 00:00:00,0050,0,"324,000","-443,000","-119,000"
2017-06-30 00:00:00,0050,"-970,000","103,000","230,000","-637,000"
2017-07-03 00:00:00,0050,0,"-474,000","31,074","-442,926"
2017-07-04 00:00:00,0050,0,"-477,000","-103,000","-580,000"
2017-07-05 00:00:00,0050,0,"278,000","360,000","638,000"
2017-07-06 00:00:00,0050,0,"316,000","-1,760,000","-1,444,000"
2017-07-07 00:00:00,0050,0,"756,000","-2,653,000","-1,897,000"
2017-07-10 00:00:00,0050,0,"-443,000","-1,556,000","-1,999,000"
2017-07-11 00:00:00,0050,"695,000","193,000","-1,560,000","-672,000"
2017-07-12 00:00:00,0050,"1,348,000","-185,000","-2,373,000","-1,210,000"
2017-07-13 00:00:00,0050,0,"-49,000","286,072","237,072"
2017-07-14 00:00:00,0050,0,"260,000","521,975","781,975"
2017-07-17 00:00:00,0050,0,"-150,000","-46,000","-196,000"
2017-07-18 00:00:00,0050,0,"15,000","336,000","351,000"
2017-07-19 00:00:00,0050,0,"1,457,000","-346,000","1,111,000"
2017-07-20 00:00:00,0050,"-98,000","456,000","52,000","410,000"
2017-07-21 00:00:00,0050,"-1,260,000","2,168,000","313,000","1,221,000"
2017-07-24 00:00:00,0050,0,"65,000","508,072","573,072"
2017-07-25 00:00:00,0050,"-1,095,000","717,000","671,000","293,000"
2017-07-26 00:00:00,0050,0,"-462,000","-347,500","-809,500"
2017-07-27 00:00:00,0050,0,"989,000","-239,900","749,100"
2017-07-28 00:00:00,0050,0,"-603,000","-10,000","-613,000"
2017-07-31 00:00:00,0050,0,"-306,000","915,000","609,000"
2017-08-01 00:00:00,0050,0,"-67,000","241,000","174,000"
2017-08-02 00:00:00,0050,0,"-1,009,000","1,206,000","197,000"
2017-08-03 00:00:00,0050,0,"-2,577,000","160,072","-2,416,928"
2017-08-04 00:00:00,0050,0,"16,000","201,101","217,101"
2017-08-07 00:00:00,0050,"308,000","-605,000","499,000","202,000"
2017-08-08 00:00:00,0050,0,"973,000","593,000","1,566,000"
2017-08-09 00:00:00,0050,0,"-109,000","1,422,000","1,313,000"
2017-08-10 00:00:00,0050,0,"-1,954,000","523,000","-1,431,000"
2017-08-11 00:00:00,0050,0,"-1,215,000","-60,898","-1,275,898"
2017-08-14 00:00:00,0050,0,"-1,036,000","-128,000","-1,164,000"
2017-08-15 00:00:00,0050,0,"-197,000","448,073","251,073"
2017-08-16 00:00:00,0050,0,"-2,391,000","1,990,000","-401,000"
2017-08-17 00:00:00,0050,0,"-608,000","186,000","-422,000"
2017-08-18 00:00:00,0050,0,"-1,762,000","466,103","-1,295,897"
2017-08-21 00:00:00,0050,0,"-308,000","515,000","207,000"
2017-08-22 00:00:00,0050,"1,481,000","-1,544,000","1,348,000","1,285,000"
2017-08-23 00:00:00,0050,"2,005,000","-3,508,000","665,000","-838,000"
2017-08-24 00:00:00,0050,0,"13,000","2,492,000","2,505,000"
2017-08-25 00:00:00,0050,0,"624,000","920,000","1,544,000"
2017-08-28 00:00:00,0050,0,"-54,000","1,545,101","1,491,101"
2017-08-29 00:00:00,0050,0,"245,000","347,000","592,000"
2017-08-30 00:00:00,0050,0,"-815,000","3,407,000","2,592,000"
2017-08-31 00:00:00,0050,"-758,000","617,000","1,573,000","1,432,000"
2017-09-01 00:00:00,0050,"-566,000","-148,000","3,271,100","2,557,100"
2017-09-04 00:00:00,0050,0,"-1,037,000","1,047,000","10,000"
2017-09-05 00:00:00,0050,"-578,000","-643,000","1,818,000","597,000"
2017-09-06 00:00:00,0050,0,"-1,366,000","1,400,000","34,000"
2017-09-07 00:00:00,0050,0,"-40,000","-103,000","-143,000"
2017-09-08 00:00:00,0050,0,"-54,000","1,228,101","1,174,101"
2017-09-11 00:00:00,0050,"-530,000","447,000","-148,000","-231,000"
2017-09-12 00:00:00,0050,0,"207,000","289,000","496,000"
2017-09-13 00:00:00,0050,"-400,000","288,000","-707,000","-819,000"
2017-09-14 00:00:00,0050,0,"-526,000","452,000","-74,000"
2017-09-15 00:00:00,0050,0,"-155,000","167,101","12,101"
2017-09-18 00:00:00,0050,0,"55,000","1,695,000","1,750,000"
2017-09-19 00:00:00,0050,0,"61,000","-220,000","-159,000"
2017-09-20 00:00:00,0050,0,"1,038,000","-2,297,000","-1,259,000"
2017-09-21 00:00:00,0050,0,"-73,000","-64,000","-137,000"
2017-09-22 00:00:00,0050,"750,000","-2,348,000","-1,819,000","-3,417,000"
2017-09-25 00:00:00,0050,0,"-1,436,000","-4,389,000","-5,825,000"
2017-09-26 00:00:00,0050,0,"-158,000","-9,067,000","-9,225,000"
2017-09-27 00:00:00,0050,0,"230,000","-3,522,000","-3,292,000"
2017-09-28 00:00:00,0050,0,"1,076,000","-3,399,000","-2,323,000"
2017-09-29 00:00:00,0050,0,"1,134,000","41,103","1,175,103"
2017-09-30 00:00:00,0050,0,"-42,000","-100,000","-142,000"
2017-10-02 00:00:00,0050,0,"1,126,000","-571,000","555,000"
2017-10-03 00:00:00,0050,0,"589,000","-203,000","386,000"
2017-10-05 00:00:00,0050,0,"1,634,000","3,213,000","4,847,000"
2017-10-06 00:00:00,0050,"80,000","374,000","2,448,000","2,902,000"
2017-10-11 00:00:00,0050,"617,000","7,160,000","6,723,000","14,500,000"
2017-10-12 00:00:00,0050,"100,000","4,455,000","2,149,000","6,704,000"
2017-10-13 00:00:00,0050,"100,000","309,000","2,694,272","3,103,272"
2017-10-16 00:00:00,0050,0,"-367,000","2,761,000","2,394,000"
2017-10-17 00:00:00,0050,0,"-28,000","2,594,000","2,566,000"
2017-10-18 00:00:00,0050,0,"262,820","3,497,000","3,759,820"
2017-10-19 00:00:00,0050,0,"13,000","1,390,000","1,403,000"
2017-10-20 00:00:00,0050,0,"286,000","806,000","1,092,000"
2017-10-23 00:00:00,0050,0,"-189,000","966,099","777,099"
2017-10-24 00:00:00,0050,0,"410,000","258,923","668,923"
2017-10-25 00:00:00,0050,"-1,000,000","38,000","1,547,000","585,000"
2017-10-26 00:00:00,0050,"-700,000","82,000","2,656,000","2,038,000"
2017-10-27 00:00:00,0050,0,"577,000","827,000","1,404,000"
2017-10-30 00:00:00,0050,0,"-199,000","2,362,000","2,163,000"
2017-10-31 00:00:00,0050,0,"-825,000","1,730,000","905,000"
2017-11-01 00:00:00,0050,0,"65,000","282,000","347,000"
2017-11-02 00:00:00,0050,0,"532,000","300,000","832,000"
2017-11-03 00:00:00,0050,"100,000","-10,000","729,098","819,098"
2017-11-06 00:00:00,0050,0,"-95,000","1,064,000","969,000"
2017-11-07 00:00:00,0050,0,"-79,000","1,463,000","1,384,000"
2017-11-08 00:00:00,0050,0,"-37,000","209,000","172,000"
2017-11-09 00:00:00,0050,0,"-79,000","302,000","223,000"
2017-11-10 00:00:00,0050,0,"-64,000","189,000","125,000"
2017-11-13 00:00:00,0050,0,"-181,000","91,000","-90,000"
2017-11-14 00:00:00,0050,0,"-552,000","5,000","-547,000"
2017-11-15 00:00:00,0050,0,"-4,161,000","-119,000","-4,280,000"
2017-11-16 00:00:00,0050,0,"-905,000","-105,000","-1,010,000"
2017-11-17 00:00:00,0050,0,"-5,152,000","4,904,099","-247,901"
2017-11-20 00:00:00,0050,0,"-1,008,000","-258,000","-1,266,000"
2017-11-21 00:00:00,0050,0,"2,524,000","-2,149,000","375,000"
2017-11-22 00:00:00,0050,"2,000,000","-1,215,000","1,664,000","2,449,000"
2017-11-23 00:00:00,0050,0,"162,000","91,000","253,000"
2017-11-24 00:00:00,0050,0,"-289,000","404,000","115,000"
2017-11-27 00:00:00,0050,0,"-352,000","-573,804","-925,804"
2017-11-28 00:00:00,0050,0,"-743,000","-596,100","-1,339,100"
2017-11-29 00:00:00,0050,0,"-193,000","-79,000","-272,000"
2017-11-30 00:00:00,0050,0,"-362,000","-5,944,000","-6,306,000"
2017-12-01 00:00:00,0050,0,"-1,597,000","-2,132,000","-3,729,000"
2017-12-04 00:00:00,0050,0,"411,000","-841,000","-430,000"
