Date,Open,High,Low,Close,Adj Close
2008-06-24,11842.3603515625,11904.3203125,11725.51953125,11807.4296875,11807.4296875
2008-06-25,11805.3095703125,11924.1904296875,11789.3603515625,11811.830078125,11811.830078125
2008-06-26,11808.5703125,11808.73046875,11453.419921875,11453.419921875,11453.419921875
2008-06-27,11452.849609375,11485.25,11297.990234375,11346.509765625,11346.509765625
2008-06-30,11345.7001953125,11437.2998046875,11287.5595703125,11350.009765625,11350.009765625
2008-07-01,11344.6396484375,11407.900390625,11183.4296875,11382.259765625,11382.259765625
2008-07-02,11382.33984375,11434.1201171875,11214.3701171875,11215.509765625,11215.509765625
2008-07-03,11216.0,11337.48046875,11157.2099609375,11288.5400390625,11288.5400390625
2008-07-07,11289.1904296875,11399.1103515625,11120.740234375,11231.9599609375,11231.9599609375
2008-07-08,11225.0302734375,11391.1298828125,11174.8798828125,11384.2099609375,11384.2099609375
2008-07-09,11381.9296875,11418.240234375,11141.990234375,11147.4404296875,11147.4404296875
2008-07-10,11148.009765625,11270.2998046875,11086.9501953125,11229.01953125,11229.01953125
2008-07-11,11226.169921875,11241.0703125,10977.6796875,11100.5400390625,11100.5400390625
2008-07-14,11103.6396484375,11239.0400390625,11003.650390625,11055.1904296875,11055.1904296875
2008-07-15,11050.7998046875,11123.669921875,10827.7099609375,10962.5400390625,10962.5400390625
2008-07-16,10961.8896484375,11244.169921875,10918.330078125,11239.2802734375,11239.2802734375
2008-07-17,11238.3896484375,11446.66015625,11209.5595703125,11446.66015625,11446.66015625
2008-07-18,11436.5595703125,11510.8203125,11381.9296875,11496.5703125,11496.5703125
2008-07-21,11495.01953125,11559.669921875,11423.9404296875,11467.33984375,11467.33984375
2008-07-22,11457.900390625,11616.66015625,11387.3896484375,11602.5,11602.5
2008-07-23,11603.3896484375,11698.169921875,11558.2900390625,11632.3798828125,11632.3798828125
2008-07-24,11630.33984375,11634.490234375,11345.3701171875,11349.2802734375,11349.2802734375
2008-07-25,11341.1396484375,11443.8095703125,11325.099609375,11370.6904296875,11370.6904296875
2008-07-28,11369.4697265625,11369.5498046875,11125.1298828125,11131.080078125,11131.080078125
2008-07-29,11133.4404296875,11398.3798828125,11128.0595703125,11397.5595703125,11397.5595703125
2008-07-30,11397.5595703125,11586.6201171875,11397.5595703125,11583.6904296875,11583.6904296875
2008-07-31,11577.990234375,11578.8896484375,11363.6904296875,11378.01953125,11378.01953125
2008-08-01,11379.8896484375,11425.73046875,11267.0498046875,11326.3203125,11326.3203125
2008-08-04,11326.3203125,11382.169921875,11221.5302734375,11284.150390625,11284.150390625
2008-08-05,11286.01953125,11615.9296875,11286.01953125,11615.76953125,11615.76953125
2008-08-06,11603.6396484375,11685.4599609375,11521.3203125,11656.0703125,11656.0703125
2008-08-07,11655.419921875,11655.580078125,11416.7001953125,11431.4296875,11431.4296875
2008-08-08,11432.08984375,11759.9599609375,11388.0400390625,11734.3203125,11734.3203125
2008-08-11,11729.669921875,11867.1103515625,11675.5302734375,11782.349609375,11782.349609375
2008-08-12,11781.7001953125,11782.349609375,11601.51953125,11642.4697265625,11642.4697265625
2008-08-13,11632.8095703125,11633.7802734375,11453.33984375,11532.9599609375,11532.9599609375
2008-08-14,11532.0703125,11718.2802734375,11450.8896484375,11615.9296875,11615.9296875
2008-08-15,11611.2099609375,11709.8896484375,11599.73046875,11659.900390625,11659.900390625
2008-08-18,11659.650390625,11690.4296875,11434.1201171875,11479.3896484375,11479.3896484375
2008-08-19,11478.08984375,11478.169921875,11318.5,11348.5498046875,11348.5498046875
2008-08-20,11345.9404296875,11454.150390625,11290.580078125,11417.4296875,11417.4296875
2008-08-21,11415.23046875,11476.2099609375,11315.5703125,11430.2099609375,11430.2099609375
2008-08-22,11426.7900390625,11632.1298828125,11426.7900390625,11628.0595703125,11628.0595703125
2008-08-25,11626.1904296875,11626.26953125,11362.6298828125,11386.25,11386.25
2008-08-26,11383.5595703125,11436.240234375,11340.41015625,11412.8701171875,11412.8701171875
2008-08-27,11412.4599609375,11554.4599609375,11381.76953125,11502.509765625,11502.509765625
2008-08-28,11499.8701171875,11715.1796875,11499.7900390625,11715.1796875,11715.1796875
2008-08-29,11713.23046875,11713.23046875,11543.3896484375,11543.9599609375,11543.9599609375
2008-09-02,11545.6298828125,11790.169921875,11471.900390625,11516.919921875,11516.919921875
2008-09-03,11506.009765625,11554.3798828125,11416.5302734375,11532.8798828125,11532.8798828125
2008-09-04,11532.48046875,11532.48046875,11176.01953125,11188.23046875,11188.23046875
2008-09-05,11185.6298828125,11245.150390625,11037.849609375,11220.9599609375,11220.9599609375
2008-09-08,11224.8701171875,11570.66015625,11224.7900390625,11510.740234375,11510.740234375
2008-09-09,11514.73046875,11577.5,11230.73046875,11230.73046875,11230.73046875
2008-09-10,11233.91015625,11380.6298828125,11215.259765625,11268.919921875,11268.919921875
2008-09-11,11264.4404296875,11445.6796875,11098.669921875,11433.7099609375,11433.7099609375
2008-09-12,11429.3203125,11459.9296875,11280.400390625,11421.990234375,11421.990234375
2008-09-15,11416.3701171875,11416.4501953125,10917.509765625,10917.509765625,10917.509765625
2008-09-16,10905.6201171875,11093.2197265625,10742.7001953125,11059.01953125,11059.01953125
2008-09-17,11056.580078125,11057.3095703125,10595.900390625,10609.66015625,10609.66015625
2008-09-18,10609.009765625,11076.4404296875,10459.4404296875,11019.6904296875,11019.6904296875
2008-09-19,11027.509765625,11483.0498046875,11026.7001953125,11388.4404296875,11388.4404296875
2008-09-22,11394.419921875,11394.580078125,10992.2001953125,11015.6904296875,11015.6904296875
2008-09-23,11015.6904296875,11143.2099609375,10833.9404296875,10854.169921875,10854.169921875
2008-09-24,10850.01953125,10928.400390625,10753.5703125,10825.169921875,10825.169921875
2008-09-25,10827.169921875,11129.1904296875,10827.009765625,11022.0595703125,11022.0595703125
2008-09-26,11019.0400390625,11168.0595703125,10868.8203125,11143.1298828125,11143.1298828125
2008-09-29,11139.6201171875,11139.9404296875,10365.4501953125,10365.4501953125,10365.4501953125
2008-09-30,10371.580078125,10868.900390625,10371.419921875,10850.66015625,10850.66015625
2008-10-01,10847.400390625,10882.51953125,10631.9501953125,10831.0703125,10831.0703125
2008-10-02,10825.5400390625,10825.5400390625,10439.51953125,10482.849609375,10482.849609375
2008-10-03,10483.9599609375,10796.259765625,10310.25,10325.3798828125,10325.3798828125
2008-10-06,10322.51953125,10322.759765625,9525.3203125,9955.5,9955.5
2008-10-07,9955.419921875,10124.0302734375,9436.669921875,9447.1103515625,9447.1103515625
2008-10-08,9437.23046875,9628.0703125,9194.7802734375,9258.099609375,9258.099609375
2008-10-09,9261.6904296875,9448.1396484375,8579.1904296875,8579.1904296875,8579.1904296875
2008-10-10,8568.669921875,8901.2802734375,7882.509765625,8451.1904296875,8451.1904296875
2008-10-13,8462.419921875,9427.990234375,8462.1796875,9387.6103515625,9387.6103515625
2008-10-14,9388.9697265625,9794.3701171875,9085.4296875,9310.990234375,9310.990234375
2008-10-15,9301.91015625,9308.759765625,8530.1201171875,8577.91015625,8577.91015625
2008-10-16,8577.0400390625,9013.26953125,8197.669921875,8979.259765625,8979.259765625
2008-10-17,8975.349609375,9281.1201171875,8718.25,8852.2197265625,8852.2197265625
2008-10-20,8852.2998046875,9266.6298828125,8852.2197265625,9265.4296875,9265.4296875
2008-10-21,9262.7998046875,9284.5498046875,9004.26953125,9033.66015625,9033.66015625
2008-10-22,9027.83984375,9027.83984375,8335.2998046875,8519.2099609375,8519.2099609375
2008-10-23,8519.76953125,8795.990234375,8243.5498046875,8691.25,8691.25
